Other Character Lines,Gandalf Lines
Lines,Lines
Gandalf!,You cannot pass!
"[Gandalf strikes his staff onto the bridge. As the Balrog steps forward, the bridge collapses from under it and the demon plunges backward into the chasm. Gandalf, exhausted, leans on his staff and watches the Balrog fall then turns to follow the others. At the last minute, the flaming whip lashes up from the depths of the abyss and winds around Gandalfs ankle, dragging him over the edge. He clings onto the bridge but is straining to keep his grip.]","I am a servant of the Secret Fire, wielder of the Flame of Anor! [Camera pans closer to the mountain side.]"
Gandalf!,"Argh! Go back to the shadow. The Dark Fire will not avail you, Flame of Udûn! [Camera zooms in through the mountain and focuses on Gandalf and the Balrog on the bridge of Khazad-dûm. The Balrog strikes down on Gandalf with its flaming sword. Gandalf parries the blow with Glamdring, shattering the Balrogs sword.]"
"We must be quick. [With a yell, the three swing round to attack. Gimlis axe and Legolas arrow are deflected. Aragorn drops his sword as it becomes red hot in his grasp. They shield their eyes with their hands from the bright light emanating from the White Wizard.]",Argh! [Frodo rushes forward but Boromir restrains him.]
Where are they?,"Fly, you fools! [Gandalf loses his grip and falls into the chasm]"
It cannot be. You fell.,You are tracking the footsteps of two young hobbits.
Gandalf!,They passed this way the day before yesterday. They met someone they did not expect. Does that comfort you?
Gandalf!,"Through fire and water. [Flashback: Gandalf is battling the Balrog atop Dúrins Tower.] From the lowest dungeon to the highest peak, I fought with the Balrog of Morgoth. [Gandalf holds up Glamdring and a flash of lightning strikes it before he plunges the sword into the Balrog. With a final cry, the Balrog falls from the peak and lands, smoking, onto the icy mountainside.]"
"That is one of the Mearas, unless my eyes are cheated by some spell. [The horse comes round to stop in front of Gandalf.]","Until at last, I threw down my enemy and smote his ruin upon the mountainside. [On top of the mountain, Gandalf crawls a bit and then collapses.]"
"Good Sméagol always helps. [Frodo follows Gollum as Sam stares after him in disbelief.] [On the plains of Rohan. Gandalf, Aragorn, Legolas and Gimli stop as Edoras comes into view.]","Darkness took me. And I strayed out of thought and time. [Camera zooms in Gandalfs eye and enters an amorphous realm of stars and galaxies, ending in a blinding white light] Stars wheeled overhead and everyday was as long as a life-age of the earth. But it was not the end. I felt life in me again. [Camera zooms out from Gandalfs eye, lying naked and very still. His hair has turned white and wounds are completely healed. He suddenly shudders with a deep gasp and pants as life returns to him]"
Will you not go to him? [She weeps.] Will you do nothing? [Scene returns to Gandalf and company.],I've been sent back until my task is done.
Youll find more cheer in a graveyard. [Aragorn looks up to the hall again but the lady has disappeared. The company climbs up the stairs to the hall and is met by guards.],Gandalf? Yes... That's what they used to call me. Gandalf the Grey. That was my name. [He smiles]
[gestures to Gandalf] Your staff.,"[With a twinkle in his eye] I am Gandalf the White. [Aragorn grins] And I come back to you now at the turn of the tide. [They walk through the forest, with Gandalf leading the way, now wearing a grey cloak over his white robes.]"
"[Leaning down and whispering to Théoden.] My lord, Gandalf the Grey is coming. Hes a herald of woe.","One stage of your journey is over, another begins. War has come to Rohan. We must ride to Edoras with all speed. [Outside the forest, Gandalf whistles piercingly. Soon an answering neigh is heard and a white horse appears from the plain, answering the call.]"
"A just question, my liege. [He walks towards Gandalf.] Late is the hour in which this conjurer chooses to appear. Lathspell spell I name him. Ill news is an ill guest.","Shadowfax. [Gimli bows in the background.] He's the lord of all horses and he's been my friend through many dangers. [The Three Hunters and Gandalf ride across the plains to Edoras.] [Back at Fangorn, Treebeard is walking through the forest with Merry and Pippin sitting on his shoulders.]"
"His staff! [Backing away from Gandalf while addressing the guards] I told you to take the wizards staff! [The hostile guards attack. Aragorn, Legolas and Gimli engage them in a fist-fight as Gandalf continues to approach Théoden. Gamling tries to go forward but Háma holds him back.]","Edoras and the Golden Hall of Meduseld. There dwells Théoden, King of Rohan, whose mind is overthrown. Sarumans hold over King Théoden is now very strong. [In the Hall, Éowyn is kneeling before Théoden, holding his hand in hers.]"
"[Growls] I would stay still, if I were you.","Be careful what you say. Do not look for welcome here. [They ride on towards Edoras.] [At Edoras, Éowyn is weeping at the dead Théodred's bed. She kisses his hand. Gríma appears at the door.]"
Argh!,[sees Háma] Ah.
